product_title,product_slug,vendor,status,description_html,sku,variant_title,price_cents,currency,stock,position
Everyday Canvas Tote,everyday-canvas-tote,Dukafy Goods,active,"<p>A sturdy everyday tote made from heavyweight canvas.</p>",TOTE-NAT,Natural,6800,USD,24,0
Everyday Canvas Tote,everyday-canvas-tote,Dukafy Goods,active,"<p>A sturdy everyday tote made from heavyweight canvas.</p>",TOTE-BLK,Black,6800,USD,18,1
Studio Ceramic Mug,studio-ceramic-mug,Dukafy Goods,active,"<p>A hand-finished stoneware mug for slow mornings.</p>",MUG-SAND,Sand,3200,USD,30,0
Studio Ceramic Mug,studio-ceramic-mug,Dukafy Goods,active,"<p>A hand-finished stoneware mug for slow mornings.</p>",MUG-INK,Ink,3200,USD,21,1
Linen Table Runner,linen-table-runner,Dukafy Goods,active,"<p>Washed European linen with a relaxed drape.</p>",RUNNER-OAT,Oat,5400,USD,14,0
Linen Table Runner,linen-table-runner,Dukafy Goods,active,"<p>Washed European linen with a relaxed drape.</p>",RUNNER-CHARCOAL,Charcoal,5400,USD,9,1
Oak Serving Board,oak-serving-board,Dukafy Goods,active,"<p>Solid oak, shaped and finished by hand.</p>",BOARD-M,Medium,7400,USD,11,0
Oak Serving Board,oak-serving-board,Dukafy Goods,active,"<p>Solid oak, shaped and finished by hand.</p>",BOARD-L,Large,9200,USD,7,1
Wool Throw,wool-throw,Dukafy Goods,active,"<p>A warm, breathable throw woven from pure wool.</p>",THROW-MOSS,Moss,12800,USD,9,0
Wool Throw,wool-throw,Dukafy Goods,active,"<p>A warm, breathable throw woven from pure wool.</p>",THROW-RUST,Rust,12800,USD,6,1
Brass Candle Holder,brass-candle-holder,Dukafy Goods,active,"<p>A softly brushed solid-brass candle holder.</p>",CANDLE-S,Short,4600,USD,16,0
Brass Candle Holder,brass-candle-holder,Dukafy Goods,active,"<p>A softly brushed solid-brass candle holder.</p>",CANDLE-T,Tall,5200,USD,13,1
Market Basket,market-basket,Dukafy Goods,active,"<p>A woven palm basket for markets, picnics, and storage.</p>",BASKET-NAT,Default,8600,USD,12,0
Cotton Apron,cotton-apron,Dukafy Goods,active,"<p>Durable cotton twill with generous utility pockets.</p>",APRON-OLIVE,Olive,5800,USD,20,0
Cotton Apron,cotton-apron,Dukafy Goods,active,"<p>Durable cotton twill with generous utility pockets.</p>",APRON-CLAY,Clay,5800,USD,17,1
Incense Set,incense-set,Dukafy Goods,active,"<p>Natural incense with a small ceramic holder.</p>",INCENSE-CEDAR,Cedar,2800,USD,35,0
Desk Tray,desk-tray,Dukafy Goods,active,"<p>A minimal powder-coated steel tray for daily essentials.</p>",TRAY-BONE,Bone,4400,USD,15,0
Desk Tray,desk-tray,Dukafy Goods,active,"<p>A minimal powder-coated steel tray for daily essentials.</p>",TRAY-BLUE,Blue,4400,USD,10,1
Glass Carafe,glass-carafe,Dukafy Goods,active,"<p>Lightweight borosilicate glass for table or bedside.</p>",CARAFE-CLEAR,Clear,6200,USD,19,0
Travel Journal,travel-journal,Dukafy Goods,active,"<p>Lay-flat binding with fountain-pen-friendly paper.</p>",JOURNAL-TAN,Tan,3600,USD,28,0
